model,n_features,cv_accuracy,cv_std,selected_features
LogisticRegression,13,0.9241758241758242,0.048700043530022726,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
RandomForest,13,0.9549450549450549,0.06102612473369152,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
GradientBoosting,13,0.8505494505494505,0.10275753606646998,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
LogisticRegression,12,0.9241758241758242,0.048700043530022726,"['age', 'sex', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
RandomForest,12,0.9252747252747253,0.06644490750694935,"['age', 'sex', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
GradientBoosting,12,0.8648351648351648,0.08649964243584364,"['age', 'sex', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
LogisticRegression,11,0.9241758241758242,0.048700043530022726,"['age', 'sex', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']"
RandomForest,11,0.8956043956043956,0.07338816640467694,"['age', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']"
GradientBoosting,11,0.8505494505494505,0.10275753606646998,"['age', 'sex', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']"
LogisticRegression,10,0.8945054945054945,0.0351648351648352,"['age', 'sex', 'trestbps', 'chol', 'restecg', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']"
RandomForest,10,0.9252747252747253,0.06644490750694935,"['age', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']"
GradientBoosting,10,0.8505494505494505,0.10275753606646998,"['age', 'sex', 'cp', 'trestbps', 'chol', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']"
LogisticRegression,9,0.9241758241758242,0.048700043530022726,"['age', 'sex', 'trestbps', 'chol', 'restecg', 'thalach', 'slope', 'ca', 'thal']"
RandomForest,9,0.9252747252747253,0.06644490750694935,"['age', 'cp', 'trestbps', 'chol', 'restecg', 'thalach', 'oldpeak', 'ca', 'thal']"
GradientBoosting,9,0.8505494505494505,0.10275753606646998,"['age', 'cp', 'trestbps', 'chol', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']"
LogisticRegression,8,0.9252747252747253,0.06644490750694935,"['age', 'sex', 'trestbps', 'chol', 'thalach', 'slope', 'ca', 'thal']"
RandomForest,8,0.9549450549450549,0.06102612473369152,"['age', 'cp', 'trestbps', 'chol', 'thalach', 'oldpeak', 'ca', 'thal']"
GradientBoosting,8,0.8362637362637363,0.12356653008237888,"['age', 'trestbps', 'chol', 'thalach', 'oldpeak', 'slope', 'ca', 'thal']"
LogisticRegression,7,0.90989010989011,0.055339245327534835,"['age', 'sex', 'chol', 'thalach', 'slope', 'ca', 'thal']"
RandomForest,7,0.910989010989011,0.08472235282372037,"['age', 'cp', 'chol', 'thalach', 'oldpeak', 'ca', 'thal']"
GradientBoosting,7,0.8362637362637363,0.12356653008237888,"['age', 'trestbps', 'chol', 'thalach', 'oldpeak', 'slope', 'ca']"
LogisticRegression,6,0.9252747252747253,0.06644490750694935,"['age', 'sex', 'chol', 'thalach', 'slope', 'ca']"
RandomForest,6,0.9395604395604396,0.05731166949628702,"['age', 'cp', 'chol', 'thalach', 'ca', 'thal']"
GradientBoosting,6,0.8219780219780219,0.14700651875332435,"['age', 'trestbps', 'chol', 'thalach', 'slope', 'ca']"
LogisticRegression,5,0.9252747252747253,0.04525551710323957,"['age', 'chol', 'thalach', 'slope', 'ca']"
RandomForest,5,0.8956043956043956,0.10059597794589721,"['age', 'cp', 'chol', 'thalach', 'ca']"
GradientBoosting,5,0.8956043956043956,0.10059597794589721,"['age', 'trestbps', 'chol', 'thalach', 'slope']"
LogisticRegression,4,0.9406593406593406,0.054103444505895264,"['age', 'chol', 'thalach', 'slope']"
RandomForest,4,0.8802197802197801,0.10109890109890109,"['age', 'chol', 'thalach', 'ca']"
GradientBoosting,4,0.8802197802197801,0.10109890109890109,"['age', 'trestbps', 'chol', 'thalach']"
LogisticRegression,3,0.9538461538461538,0.061538461538461535,"['age', 'thalach', 'slope']"
RandomForest,3,0.8956043956043956,0.08804934340224232,"['age', 'chol', 'thalach']"
GradientBoosting,3,0.8802197802197801,0.10109890109890109,"['age', 'trestbps', 'thalach']"
LogisticRegression,2,0.9252747252747253,0.04525551710323957,"['age', 'thalach']"
RandomForest,2,0.8505494505494505,0.10275753606646998,"['age', 'chol']"
GradientBoosting,2,0.8648351648351648,0.08649964243584364,"['age', 'thalach']"
LogisticRegression,1,0.8637362637362637,0.057142857142857155,['age']
RandomForest,1,0.8483516483516483,0.06894236106091482,['age']
GradientBoosting,1,0.8637362637362637,0.08943731845879474,['age']
